NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E2710000001111,阿倍野スポーツセンター,大阪府大阪市阿倍野区阿倍野筋3-10-1-100,,,,34.641893,135.51077,
2,E2710000003111,金塚小学校,大阪府大阪市阿倍野区旭町3-4-46,1,,,34.64278162,135.5076922,
3,E2710000006111,大阪キリスト教短期大学,大阪府大阪市阿倍野区丸山通1-3-61,1,,,34.63720154,135.5078884,
4,E2710000007111,丸山小学校,大阪府大阪市阿倍野区丸山通1-4-43,1,,,34.6373615,135.5091546,
5,E2710000009111,大谷中学校・高等学校,大阪府大阪市阿倍野区共立通2-8-4,1,,,34.63901165,135.5056257,
6,E2710000012111,苗代小学校,大阪府大阪市阿倍野区阪南町1-26-30,1,,,34.6356531,135.5167637,
7,E2710000013111,阿倍野高等学校,大阪府大阪市阿倍野区阪南町1-30-34,1,,,34.63548989,135.5152211,
8,E2710000014121,介護老人保健施設　やまき・あべの苑,大阪府大阪市阿倍野区阪南町1-45-8,,,要配慮者,34.63392517,135.5153921,
9,E2710000016121,グループホーム　まごころ,大阪府大阪市阿倍野区阪南町2-16-7,,,要配慮者,34.631651,135.5122548,
10,E2710000017111,阿倍野小学校,大阪府大阪市阿倍野区阪南町2-17-21,1,,,34.63194733,135.5129305,
11,E2710000019121,阿倍野区老人福祉センター,大阪府大阪市阿倍野区阪南町5-12-26,,,要配慮者,34.62304837,135.5136616,
12,E2710000020111,阪南小学校,大阪府大阪市阿倍野区阪南町5-7-40,1,,,34.62459719,135.512503,
13,E2710000023111,大阪府立天王寺高等学校,大阪府大阪市阿倍野区三明町2-4-23,1,,,34.639777,135.52098,
14,E2710000025111,桃山学院高等学校,大阪府大阪市阿倍野区昭和町3-1-64,1,,,34.62954648,135.5165734,
15,E2710000026111,阿倍野中学校,大阪府大阪市阿倍野区昭和町3-2-4,1,,,34.62941297,135.5184155,
16,E2710000027121,救護施設　平和寮,大阪府大阪市阿倍野区昭和町3-4-27,,,要配慮者,34.627771,135.516417,
17,E2710000027122,特別養護老人ホームミネルヴァあべの,大阪府大阪市阿倍野区昭和町3-4-27,,,要配慮者,34.627932,135.516382,
18,E2710000028111,大阪教育大学附属天王寺小学校,大阪府大阪市阿倍野区松崎町1-2-45,1,,,34.6447599,135.5185274,
19,E2710000029121,特別養護老人ホーム　阪和苑,大阪府大阪市阿倍野区松崎町2-3-10,,,要配慮者,34.6442505,135.5152624,
20,E2710000030111,常盤小学校,大阪府大阪市阿倍野区松崎町3-11-12,1,,,34.64116932,135.5176526,
21,E2710000032111,常盤小学校分校,大阪府大阪市阿倍野区松崎町3-2-9,,,,34.64152838,135.517794,
22,E2710000036111,松虫中学校,大阪府大阪市阿倍野区松虫通3-4-45,1,,,34.6350642,135.5052062,
23,E2710000037111,晴明丘小学校,大阪府大阪市阿倍野区晴明通10-34,1,,,34.63222394,135.5043349,
24,E2710000041121,高齢者デイサービスセンター　いくとくⅡ,大阪府大阪市阿倍野区長池町18-20,,,要配慮者,34.62343024,135.5183074,
25,E2710000042111,長池小学校,大阪府大阪市阿倍野区長池町20-26,1,,,34.62239348,135.5172409,
26,E2710000043111,晴明丘南小学校,大阪府大阪市阿倍野区帝塚山1-23-8,1,,,34.62408118,135.4966482,
27,E2710000044121,社会福祉法人大阪市阿倍野区社会福祉協議会,大阪府大阪市阿倍野区帝塚山1-3-8,,,要配慮者,34.62426411,135.5037353,
28,E2710000046111,あべの翔学高等学校（体育館）,大阪府大阪市阿倍野区天王寺町南2-8-19,,,,34.642404,135.5253705,
29,E2710000051111,高松小学校,大阪府大阪市阿倍野区天王寺町北3-17-19,1,,,34.64376933,135.5253056,
30,E2710000052121,特別養護老人ホーム　いくとく,大阪府大阪市阿倍野区天王寺町北3-18-16,,,要配慮者,34.64292703,135.5264099,
31,E2710000055111,昭和中学校,大阪府大阪市阿倍野区桃ケ池町2-3-17,1,,,34.62730156,135.5209473,
32,E2710000057111,文の里中学校,大阪府大阪市阿倍野区美章園1-5-52,1,,,34.63998667,135.522426,
33,E2710002843121,障害者支援施設　アテナ平和,大阪府大阪市阿倍野区美章園3-7-2,,,要配慮者,34.637695,135.522186,
34,E2710000059111,工芸高等学校,大阪府大阪市阿倍野区文の里1-7-2,1,,,34.63794383,135.5183975,
35,E2710000060111,明浄学院高等学校,大阪府大阪市阿倍野区文の里3-15-7,1,,,34.6355112,135.5214269,
36,E2710000062111,阪南中学校,大阪府大阪市阿倍野区北畠1-16-24,1,,,34.62593864,135.5063094,
37,E2710000064111,住吉高等学校,大阪府大阪市阿倍野区北畠2-4-1,1,,,34.62814878,135.5032261,
38,E2710000068121,特別養護老人ホーム　高殿苑,大阪府大阪市旭区高殿2-11-26,,,要配慮者,34.7184896,135.5368102,
39,E2710000071111,高殿南小学校,大阪府大阪市旭区高殿3-10-30,1,,,34.71392819,135.5394023,
40,E2710002859111,大阪市立旭スポーツセンター,大阪府大阪市旭区高殿5-3-25,,,,34.71674,135.54071,
41,E2710000078111,大阪府立旭高等学校,大阪府大阪市旭区高殿5-6-41,1,,,34.71867926,135.5420997,
42,E2710000080111,旭陽中学校,大阪府大阪市旭区高殿5-9-31,1,,,34.71830266,135.5401104,
43,E2710000081121,旭区在宅サービスセンター,大阪府大阪市旭区高殿6-16-1,,,要配慮者,34.71824926,135.5459968,
44,E2710000082121,特別養護老人ホーム　ゆうゆう,大阪府大阪市旭区高殿6-24-12,1,,要配慮者,34.719373,135.5465816,
45,E2710000083111,高殿小学校,大阪府大阪市旭区高殿6-9-10,1,,,34.71786984,135.5429766,
46,E2710000091111,新森小路小学校,大阪府大阪市旭区新森6-3-13,1,,,34.71637327,135.5620322,
47,E2710000092111,旭東中学校,大阪府大阪市旭区新森6-7-25,1,,,34.71740795,135.5612889,
48,E2710000094111,大阪府立光陽支援学校,大阪府大阪市旭区新森6-8-21,,,,34.7179637,135.5638555,
49,E2710000097111,古市小学校,大阪府大阪市旭区森小路2-10-35,1,,,34.72273701,135.5514022,
50,E2710000101121,特別養護老人ホーム　旭さくら苑,大阪府大阪市旭区清水3-15-23,,,要配慮者,34.72289869,135.5588753,
51,E2710000106111,清水小学校,大阪府大阪市旭区清水5-1-12,1,,,34.7231912,135.5614983,
52,E2710000108111,生江小学校,大阪府大阪市旭区生江1-10-21,1,,,34.72327497,135.5375461,
53,E2710000117121,生江特別養護老人ホーム　白寿荘,大阪府大阪市旭区生江3-27-1,,,要配慮者,34.72913173,135.5351997,
54,E2710000118121,地域在宅サービスステーション　翠,大阪府大阪市旭区生江3-27-6,,,要配慮者,34.72938795,135.5352306,
55,E2710002844121,社会福祉法人リベルタ　縁,大阪府大阪市旭区生江3-28-27,,,要配慮者,34.728268,135.537094,
56,E2710000121121,特別養護老人ホーム　あいあい,大阪府大阪市旭区赤川1-6-12,1,,要配慮者,34.72238183,135.5326649,
57,E2710000122121,特別養護老人ホーム　ライフライト,大阪府大阪市旭区赤川2-1-20,1,,要配慮者,34.7244248,135.5309594,
58,E2710003058121,居宅介護支援センター　てのはな　,大阪府大阪市旭区赤川2-13-14,,,要配慮者,34.724935,135.534661,
59,E2710000123111,城北小学校,大阪府大阪市旭区赤川3-13-47,1,,,34.72786141,135.5296282,
60,E2710000124121,生江障害者会館,大阪府大阪市旭区赤川4-1-30,,,要配慮者,34.72720556,135.533703,
61,E2710000127111,太子橋小学校,大阪府大阪市旭区太子橋1-12-15,1,,,34.73221476,135.5539244,
62,E2710000128121,豊里学園,大阪府大阪市旭区太子橋1-16-24,,,要配慮者,34.73195574,135.5504674,
63,E2710000133111,淀川工科高等学校,大阪府大阪市旭区太子橋3-1-32,1,,,34.73721195,135.5599248,
64,E2710000139111,大宮小学校,大阪府大阪市旭区大宮4-9-16,1,,,34.72737628,135.5468908,
65,E2710000142111,大阪府立思斉支援学校,大阪府大阪市旭区大宮5-11-7,1,,,34.73061007,135.5484783,
66,E2710000144111,今市中学校,大阪府大阪市旭区大宮5-13-40,1,,,34.73241653,135.549881,
67,E2710000145111,大阪工業大学,大阪府大阪市旭区大宮5-16-1,1,,,34.73076273,135.543976,
68,E2710000152111,大宮西小学校,大阪府大阪市旭区中宮1-8-14,1,,,34.72278622,135.5417532,
69,E2710000154111,大宮中学校,大阪府大阪市旭区中宮4-7-11,1,,,34.72665526,135.5411655,
70,E2710000156111,市岡中学校,大阪府大阪市港区磯路1-5-21,1,,,34.66662191,135.461659,
71,E2710000162111,磯路小学校,大阪府大阪市港区磯路3-7-7,1,,,34.66523316,135.4571829,
72,E2710000169111,港晴小学校,大阪府大阪市港区港晴1-3-12,1,,,34.65662821,135.4440122,
73,E2710000181121,小規模多機能あおぞら,大阪府大阪市港区三先1-1-19,,,要配慮者,34.661955,135.455684,
74,E2710000183111,港南中学校,大阪府大阪市港区三先1-5-28,1,,,34.66025749,135.456796,
75,E2710000187111,三先小学校,大阪府大阪市港区三先2-6-32,1,,,34.65884165,135.4531963,
76,E2710000189121,レストヴィラ弁天町,大阪府大阪市港区市岡1-2-24,,,要配慮者,34.66437178,135.4638146,
77,E2710000191121,ザイオン身体障害者デイサービスセンター,大阪府大阪市港区市岡1-5-30,,,要配慮者,34.66419453,135.4620918,
78,E2710000191123,特別養護老人ホーム　ザイオン,大阪府大阪市港区市岡1-5-30,,,要配慮者,34.66409269,135.4621369,
79,E2710000191122,ザイオン　デイサービスセンター,大阪府大阪市港区市岡1-5-30,,,要配慮者,34.66414326,135.4621174,
80,E2710000194111,市岡小学校,大阪府大阪市港区市岡3-2-24,1,,,34.66363193,135.4647366,
81,E2710000202111,大阪府立市岡高等学校,大阪府大阪市港区市岡元町2-12-12,1,,,34.66745104,135.4663128,
82,E2710000205111,市岡東中学校,大阪府大阪市港区市岡元町3-2-18,1,,,34.66695836,135.4650852,
83,E2710000207111,港中学校,大阪府大阪市港区池島1-5-35,1,,,34.65756726,135.4485119,
84,E2710000209111,池島小学校,大阪府大阪市港区池島2-5-47,1,,,34.65553793,135.4511944,
85,E2710000212121,ワークスいけじま,大阪府大阪市港区池島3-6-15,,,要配慮者,34.65450437,135.4488931,
86,E2710000214111,築港小学校,大阪府大阪市港区築港1-10-38,1,,,34.65301641,135.4361979,
87,E2710000216111,築港中学校,大阪府大阪市港区築港1-2-41,1,,,34.65280651,135.4379339,
88,E2710000218121,社会福祉法人秀生会　特別養護老人ホーム　ザイオン大阪港,大阪府大阪市港区築港1-9-7,,,要配慮者,34.653605,135.436412,
89,E2710000229111,田中小学校,大阪府大阪市港区田中2-10-34,1,,,34.6635576,135.4472177,
90,E2710000232121,救護施設　大阪市立第２港晴寮,大阪府大阪市港区田中3-1-130,,,要配慮者,34.6618916,135.4457592,
91,E2710000236121,ＳＯＭＰＯケア　そんぽの家　弁天町,大阪府大阪市港区南市岡2-5-9,,,要配慮者,34.664918,135.469156,
92,E2710000237111,南市岡小学校,大阪府大阪市港区南市岡2-6-35,1,,,34.66583272,135.4688816,
93,E2710000249111,大阪府立港高等学校,大阪府大阪市港区波除2-3-1,1,,,34.67091931,135.4655372,
94,E2710000251111,波除小学校,大阪府大阪市港区波除3-6-8,1,,,34.67185552,135.4623117,
95,E2710000258122,軽費老人ホーム　ケアハウス　なみよけ,大阪府大阪市港区波除5-4-7,,,要配慮者,34.67322735,135.4615384,
96,E2710000258121,デイサービスセンター　さくら,大阪府大阪市港区波除5-4-7,,,要配慮者,34.67326576,135.4615288,
97,E2710000260121,地域生活援助事業所メープル,大阪府大阪市港区波除6-4-14,,,要配慮者,34.67494919,135.4590325,
98,E2710000261121,港第二育成園,大阪府大阪市港区波除6-4-5,,,要配慮者,34.67491099,135.4590576,
99,E2710000261122,港育成園,大阪府大阪市港区波除6-4-5,,,要配慮者,34.67502575,135.4593109,
100,E2710000264111,八幡屋小学校,大阪府大阪市港区八幡屋3-3-5,1,,,34.65483232,135.4458613,
101,E2710000267125,特別養護老人ホーム　第２愛港園,大阪府大阪市港区八幡屋4-8-1,1,,要配慮者,34.65137621,135.4472834,
102,E2710000267121,グループホーム　ときめき,大阪府大阪市港区八幡屋4-8-1,1,,要配慮者,34.65166126,135.4470281,
103,E2710000267122,第２みなと　デイサービスセンター,大阪府大阪市港区八幡屋4-8-1,1,,要配慮者,34.65134929,135.4472696,
104,E2710000267123,みなと　デイサービスセンター,大阪府大阪市港区八幡屋4-8-1,1,,要配慮者,34.6516024,135.4467327,
105,E2710000267124,特別養護老人ホーム　愛港園,大阪府大阪市港区八幡屋4-8-1,1,,要配慮者,34.65157126,135.4467781,
106,E2710000275121,港区在宅デイサービスセンターひまわり,大阪府大阪市港区弁天2-15-1,,,要配慮者,34.66816047,135.4545571,
