NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E2710000002201,晴明丘公園,大阪府大阪市阿倍野区阿倍野元町15,,,,1,1,,,,,34.62967918,135.5078249,
2,E2710000003201,金塚小学校（運動場）,大阪府大阪市阿倍野区旭町3-4-46,,,,1,1,,,,1,34.64248409,135.507534,
3,E2710000004201,北畠公園,大阪府大阪市阿倍野区王子町3-8,,,,1,1,,,,,34.62855257,135.5096723,
4,E2710000005201,阪南公園,大阪府大阪市阿倍野区王子町4-1,,,,1,1,,,,,34.62600305,135.5117665,
5,E2710000006201,大阪キリスト教短期大学（運動場）,大阪府大阪市阿倍野区丸山通1-3-61,,,,1,1,,,,1,34.63687849,135.5070391,
6,E2710000007201,丸山小学校（運動場）,大阪府大阪市阿倍野区丸山通1-4-43,,,,1,1,,,,1,34.6366551,135.5086426,
7,E2710000008201,共立児童遊園,大阪府大阪市阿倍野区共立通1-1,,,,1,1,,,,,34.63981802,135.50866,
8,E2710000009201,大谷高等学校（運動場）,大阪府大阪市阿倍野区共立通2-8-4,,,,1,1,,,,1,34.63867146,135.5059908,
9,E2710000010201,阪南西公園,大阪府大阪市阿倍野区阪南町1-19,,,,1,1,,,,,34.63716349,135.5128626,
10,E2710000011201,阪南北公園,大阪府大阪市阿倍野区阪南町1-23,,,,1,1,,,,,34.63671072,135.51508,
11,E2710000012201,苗代小学校（運動場）,大阪府大阪市阿倍野区阪南町1-26-30,,,,1,1,,,,1,34.63539605,135.5166186,
12,E2710000013201,阿倍野高等学校（運動場）,大阪府大阪市阿倍野区阪南町1-30-34,,,,1,1,,,,1,34.63543583,135.5147953,
13,E2710000015201,阪南中公園,大阪府大阪市阿倍野区阪南町1-49,,,,1,1,,,,,34.63359613,135.5147305,
14,E2710000017201,阿倍野小学校（運動場）,大阪府大阪市阿倍野区阪南町2-17-21,,,,1,1,,,,1,34.6318052,135.5132728,
15,E2710000018201,新阪南公園,大阪府大阪市阿倍野区阪南町3-34,,,,1,1,,,,,34.62767778,135.5149829,
16,E2710000020201,阪南小学校（運動場）,大阪府大阪市阿倍野区阪南町5-7-40,,,,1,1,,,,1,34.62421824,135.5124396,
17,E2710000021201,阪南播磨公園,大阪府大阪市阿倍野区阪南町6-3,,,,1,1,,,,,34.62099,135.511404,
18,E2710000022201,三明北公園,大阪府大阪市阿倍野区三明町1-4,,,,1,1,,,,,34.64225017,135.5214486,
19,E2710000023201,大阪府立天王寺高等学校,大阪府大阪市阿倍野区三明町2-4-23,,,,1,1,,,,1,34.639777,135.52098,
20,E2710000024201,三明町公園,大阪府大阪市阿倍野区三明町2-9,,,,1,1,,,,,34.63991921,135.5193825,
21,E2710000025201,桃山学院高等学校（運動場）,大阪府大阪市阿倍野区昭和町3-1-64,,,,1,1,,,,1,34.6294191,135.5173339,
22,E2710000026201,阿倍野中学校（運動場）,大阪府大阪市阿倍野区昭和町3-2-4,,,,1,1,,,,1,34.62829737,135.5184045,
