testId,locationId,locationLabel,destinationName,route,intervalMeters,routeDistanceMeters,routeDurationSeconds,sampleCount,routeTotalDistanceMeters,evaluatedDistanceMeters,unavailableDistanceMeters,evaluationCoverageRatio,floodCrossingDistanceMeters,floodCrossingRatioAmongEvaluatedDistance,unavailableSampleCount,maxDepthRank,processingTimeMs
L1-A-20m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,A,20,805.1,579.7,42,769.7350771690734,769.7350771690734,0,1,664.968174197018,0.8638922584152376,0,2,197.19999980926514
L1-A-30m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,A,30,805.1,579.7,28,759.684699510826,759.684699510826,0,1,674.9178146192064,0.8884183333609292,0,2,51.40000057220459
L1-A-50m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,A,50,805.1,579.7,18,747.5654826988947,747.5654826988947,0,1,692.8335926376303,0.9267864938551351,0,2,33.10000038146973
L1-A-100m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,A,100,805.1,579.7,10,728.6659847414137,728.6659847414137,0,1,723.898829914657,0.9934576953959935,0,2,17.699999809265137
L1-B-20m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,B,20,806.4,580.6,42,774.7052183672113,774.7052183672113,0,1,688.6808602744726,0.8889585921803317,0,2,69
L1-B-30m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,B,30,806.4,580.6,28,759.1233073943281,759.1233073943281,0,1,673.0989819146257,0.8866793778536735,0,2,55
L1-B-50m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,B,50,806.4,580.6,18,745.8885027924616,745.8885027924616,0,1,739.8638631509949,0.991922868339019,0,2,34.69999980926514
L1-B-100m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,B,100,806.4,580.6,10,707.6644649894804,707.6644649894804,0,1,701.6398253480137,0.9914865873029866,0,2,15.600000381469727
L1-C-20m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,C,20,846.1,609.2,44,791.9846868467025,791.9846868467025,0,1,671.9675921417047,0.8484603342738261,0,2,57.30000019073486
L1-C-30m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,C,30,846.1,609.2,30,790.1847352274508,790.1847352274508,0,1,694.5167070315549,0.8789295414972066,0,2,56.5
L1-C-50m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,C,50,846.1,609.2,18,754.2978188854562,754.2978188854562,0,1,658.630037237062,0.8731697490657575,0,2,27.100000381469727
L1-C-100m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,C,100,846.1,609.2,10,715.899219434396,715.899219434396,0,1,670.2314374946349,0.9362092027759977,0,2,16.40000057220459
L2-A-20m,L2,湾岸低地（港区周辺）,リバーガーデン　ＥＣＯ　シティアリスの森,A,20,801.9,577.3,42,787.7289581771088,0,787.7289581771088,0,0,,42,0,425.5
L2-A-30m,L2,湾岸低地（港区周辺）,リバーガーデン　ＥＣＯ　シティアリスの森,A,30,801.9,577.3,28,779.6752371611027,0,779.6752371611027,0,0,,28,0,286.0999994277954
L2-A-50m,L2,湾岸低地（港区周辺）,リバーガーデン　ＥＣＯ　シティアリスの森,A,50,801.9,577.3,18,773.6879570174467,0,773.6879570174467,0,0,,18,0,187
L2-A-100m,L2,湾岸低地（港区周辺）,リバーガーデン　ＥＣＯ　シティアリスの森,A,100,801.9,577.3,10,698.7131726886741,0,698.7131726886741,0,0,,10,0,107.29999923706055
L2-B-20m,L2,湾岸低地（港区周辺）,リバーガーデン　ＥＣＯ　シティアリスの森,B,20,828.1,596.2,43,816.5997492140838,0,816.5997492140838,0,0,,43,0,345
L2-B-30m,L2,湾岸低地（港区周辺）,リバーガーデン　ＥＣＯ　シティアリスの森,B,30,828.1,596.2,29,809.5847034132829,0,809.5847034132829,0,0,,29,0,198.30000019073486
L2-B-50m,L2,湾岸低地（港区周辺）,リバーガーデン　ＥＣＯ　シティアリスの森,B,50,828.1,596.2,18,808.0255377866717,0,808.0255377866717,0,0,,18,0,135.39999961853027
L2-B-100m,L2,湾岸低地（港区周辺）,リバーガーデン　ＥＣＯ　シティアリスの森,B,100,828.1,596.2,10,794.2158301947884,0,794.2158301947884,0,0,,10,0,69.30000019073486
L3-A-20m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,A,20,1238.9,892,63,1204.7142307138597,0,1204.7142307138597,0,0,,63,0,455.3999996185303
L3-A-30m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,A,30,1238.9,892,43,1187.2078244177612,0,1187.2078244177612,0,0,,43,0,325.5
L3-A-50m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,A,50,1238.9,892,26,1167.9269017129227,0,1167.9269017129227,0,0,,26,0,188.30000019073486
L3-A-100m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,A,100,1238.9,892,14,1102.208959397737,0,1102.208959397737,0,0,,14,0,103.5
L3-B-20m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,B,20,1406.6,1012.7,72,1322.6985208308145,0,1322.6985208308145,0,0,,72,0,482.8999996185303
L3-B-30m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,B,30,1406.6,1012.7,48,1302.4904815871175,0,1302.4904815871175,0,0,,48,0,295.0999994277954
L3-B-50m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,B,50,1406.6,1012.7,30,1233.1419321881233,0,1233.1419321881233,0,0,,30,0,197
L3-B-100m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,B,100,1406.6,1012.7,16,1063.1775843069945,0,1063.1775843069945,0,0,,16,0,110.80000019073486
L3-C-20m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,C,20,1451.5,1045.1,74,1394.5937520761522,0,1394.5937520761522,0,0,,74,0,479.30000019073486
L3-C-30m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,C,30,1451.5,1045.1,50,1366.33710593478,0,1366.33710593478,0,0,,50,0,348.8999996185303
