testId,locationId,locationLabel,destinationName,route,intervalMeters,routingDistanceMeters,routeDurationSeconds,sampleCount,hazardEvaluationDistanceMeters,evaluatedDistanceMeters,unavailableDistanceMeters,evaluationCoverageRatio,floodCrossingDistanceMeters,floodCrossingRatioAmongEvaluatedDistance,unavailableSampleCount,maxDepthRank,processingTimeMs
L1-A-20m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,A,20,805.1,579.7,42,804.7671546519558,804.7671546519558,0,1,700.0000000000001,0.8698168109292865,0,2,150
L1-A-30m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,A,30,805.1,579.7,28,804.7671546519558,804.7671546519558,0,1,720.0000000000001,0.8946687198129804,0,2,44
L1-A-50m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,A,50,805.1,579.7,18,804.7671546519558,804.7671546519558,0,1,750.0000000000001,0.9319465831385212,0,2,27
L1-A-100m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,A,100,805.1,579.7,10,804.7671546519558,804.7671546519558,0,1,800.0000000000001,0.994076355347756,0,2,19
L1-B-20m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,B,20,806.4,580.6,42,806.0246394418589,806.0246394418589,0,1,720.0000000000001,0.8932729407609331,0,2,57
L1-B-30m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,B,30,806.4,580.6,28,806.0246394418589,806.0246394418589,0,1,720.0000000000001,0.8932729407609331,0,2,45
L1-B-50m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,B,50,806.4,580.6,18,806.0246394418589,806.0246394418589,0,1,800.0000000000001,0.9925254897343702,0,2,26
L1-B-100m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,B,100,806.4,580.6,10,806.0246394418589,806.0246394418589,0,1,800.0000000000001,0.9925254897343702,0,2,15
L1-C-20m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,C,20,846.1,609.2,44,845.6685187523536,845.6685187523536,0,1,720.0000000000001,0.8513974258640289,0,2,58
L1-C-30m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,C,30,846.1,609.2,30,845.6685187523536,845.6685187523536,0,1,750.0000000000001,0.8868723186083634,0,2,52
L1-C-50m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,C,50,846.1,609.2,18,845.6685187523536,845.6685187523536,0,1,750.0000000000001,0.8868723186083634,0,2,27
L1-C-100m,L1,都心・河川近く（北区・堂島川周辺）,西天満小学校,C,100,846.1,609.2,10,845.6685187523536,845.6685187523536,0,1,800.0000000000001,0.945997139848921,0,2,17
L2-A-20m,L2,湾岸低地（港区周辺）,リバーガーデン　ＥＣＯ　シティアリスの森,A,20,801.9,577.3,42,801.7163864976894,0,801.7163864976894,0,0,,42,0,425
L2-A-30m,L2,湾岸低地（港区周辺）,リバーガーデン　ＥＣＯ　シティアリスの森,A,30,801.9,577.3,28,801.7163864976894,0,801.7163864976894,0,0,,28,0,282
L2-A-50m,L2,湾岸低地（港区周辺）,リバーガーデン　ＥＣＯ　シティアリスの森,A,50,801.9,577.3,18,801.7163864976894,0,801.7163864976894,0,0,,18,0,189
L2-A-100m,L2,湾岸低地（港区周辺）,リバーガーデン　ＥＣＯ　シティアリスの森,A,100,801.9,577.3,10,801.7163864976894,0,801.7163864976894,0,0,,10,0,110
L2-B-20m,L2,湾岸低地（港区周辺）,リバーガーデン　ＥＣＯ　シティアリスの森,B,20,828.1,596.2,43,827.9361141777476,0,827.9361141777476,0,0,,43,0,314
L2-B-30m,L2,湾岸低地（港区周辺）,リバーガーデン　ＥＣＯ　シティアリスの森,B,30,828.1,596.2,29,827.9361141777476,0,827.9361141777476,0,0,,29,0,222
L2-B-50m,L2,湾岸低地（港区周辺）,リバーガーデン　ＥＣＯ　シティアリスの森,B,50,828.1,596.2,18,827.9361141777476,0,827.9361141777476,0,0,,18,0,141
L2-B-100m,L2,湾岸低地（港区周辺）,リバーガーデン　ＥＣＯ　シティアリスの森,B,100,828.1,596.2,10,827.9361141777476,0,827.9361141777476,0,0,,10,0,87
L3-A-20m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,A,20,1238.9,892,63,1238.48526709106,0,1238.48526709106,0,0,,63,0,439
L3-A-30m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,A,30,1238.9,892,43,1238.48526709106,0,1238.48526709106,0,0,,43,0,315
L3-A-50m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,A,50,1238.9,892,26,1238.48526709106,0,1238.48526709106,0,0,,26,0,184
L3-A-100m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,A,100,1238.9,892,14,1238.48526709106,0,1238.48526709106,0,0,,14,0,108
L3-B-20m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,B,20,1406.6,1012.7,72,1406.5544186410184,0,1406.5544186410184,0,0,,72,0,512
L3-B-30m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,B,30,1406.6,1012.7,48,1406.5544186410184,0,1406.5544186410184,0,0,,48,0,335
L3-B-50m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,B,50,1406.6,1012.7,30,1406.5544186410184,0,1406.5544186410184,0,0,,30,0,206
L3-B-100m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,B,100,1406.6,1012.7,16,1406.5544186410184,0,1406.5544186410184,0,0,,16,0,115
L3-C-20m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,C,20,1451.5,1045.1,74,1451.3648225401935,0,1451.3648225401935,0,0,,74,0,554
L3-C-30m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,C,30,1451.5,1045.1,50,1451.3648225401935,0,1451.3648225401935,0,0,,50,0,363
L3-C-50m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,C,50,1451.5,1045.1,31,1451.3648225401935,0,1451.3648225401935,0,0,,31,0,215
L3-C-100m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,C,100,1451.5,1045.1,16,1451.3648225401935,0,1451.3648225401935,0,0,,16,0,115
L4-A-20m,L4,東部低地（城東区周辺）,市営鶴見住宅１号館,A,20,283,203.8,16,282.9958609604263,282.9958609604263,0,1,282.9958609604263,1,0,2,43
L4-A-30m,L4,東部低地（城東区周辺）,市営鶴見住宅１号館,A,30,283,203.8,11,282.9958609604263,282.9958609604263,0,1,282.9958609604263,1,0,2,15
L4-A-50m,L4,東部低地（城東区周辺）,市営鶴見住宅１号館,A,50,283,203.8,7,282.9958609604263,282.9958609604263,0,1,282.9958609604263,1,0,2,14
